dp_Pa,U_alpha_1e-05,U_alpha_0.0001,U_alpha_0.001,U_alpha_0.003,U_alpha_0.01,U_alpha_0.03
5.447873881359e+03,1.426697091832e+03,1.046652219448e+03,4.417608015956e+02,2.630159815826e+02,1.461446277705e+02,8.551035003907e+01
5.585711028201e+03,1.426748318072e+03,1.046854506351e+03,4.419127965684e+02,2.631120274702e+02,1.461991664885e+02,8.554246236316e+01
5.727035605086e+03,1.426800761709e+03,1.047061699579e+03,4.420685493692e+02,2.632104542436e+02,1.462550585290e+02,8.557537175702e+01
5.871935847797e+03,1.426854449705e+03,1.047273912797e+03,4.422281507015e+02,2.633113196931e+02,1.463123368101e+02,8.560909762049e+01
6.020502224575e+03,1.426909409523e+03,1.047491262038e+03,4.423916933487e+02,2.634146829506e+02,1.463710350178e+02,8.564365980665e+01
6.172827492608e+03,1.426965669132e+03,1.047713865737e+03,4.425592722169e+02,2.635206045185e+02,1.464311876227e+02,8.567907863154e+01
6.329006755942e+03,1.427023257007e+03,1.047941844771e+03,4.427309843778e+02,2.636291462980e+02,1.464928298960e+02,8.571537488388e+01
6.489137524858e+03,1.427082202136e+03,1.048175322489e+03,4.429069291120e+02,2.637403716184e+02,1.465559979269e+02,8.575256983517e+01
6.653319776755e+03,1.427142534024e+03,1.048414424756e+03,4.430872079534e+02,2.638543452663e+02,1.466207286396e+02,8.579068524977e+01
6.821656018566e+03,1.427204282694e+03,1.048659279976e+03,4.432719247337e+02,2.639711335158e+02,1.466870598105e+02,8.582974339526e+01
6.994251350766e+03,1.427267478691e+03,1.048910019139e+03,4.434611856274e+02,2.640908041592e+02,1.467550300863e+02,8.586976705290e+01
7.171213532982e+03,1.427332153086e+03,1.049166775848e+03,4.436550991984e+02,2.642134265372e+02,1.468246790013e+02,8.591077952827e+01
7.352653051279e+03,1.427398337476e+03,1.049429686352e+03,4.438537764454e+02,2.643390715709e+02,1.468960469963e+02,8.595280466210e+01
7.538683187140e+03,1.427466063988e+03,1.049698889584e+03,4.440573308495e+02,2.644678117932e+02,1.469691754369e+02,8.599586684120e+01
7.729420088193e+03,1.427535365277e+03,1.049974527192e+03,4.442658784212e+02,2.645997213809e+02,1.470441066318e+02,8.603999100963e+01
7.924982840727e+03,1.427606274533e+03,1.050256743569e+03,4.444795377485e+02,2.647348761875e+02,1.471208838525e+02,8.608520267996e+01
8.125493544044e+03,1.427678825475e+03,1.050545685884e+03,4.446984300453e+02,2.648733537763e+02,1.471995513521e+02,8.613152794475e+01
8.331077386692e+03,1.427753052356e+03,1.050841504116e+03,4.449226792003e+02,2.650152334536e+02,1.472801543852e+02,8.617899348812e+01
8.541862724625e+03,1.427828989960e+03,1.051144351078e+03,4.451524118263e+02,2.651605963026e+02,1.473627392275e+02,8.622762659757e+01
8.757981161343e+03,1.427906673601e+03,1.051454382452e+03,4.453877573098e+02,2.653095252180e+02,1.474473531958e+02,8.627745517586e+01
8.979567630057e+03,1.427986139123e+03,1.051771756808e+03,4.456288478616e+02,2.654621049400e+02,1.475340446685e+02,8.632850775310e+01
9.206760477937e+03,1.428067422896e+03,1.052096635639e+03,4.458758185669e+02,2.656184220901e+02,1.476228631061e+02,8.638081349899e+01
9.439701552487e+03,1.428150561817e+03,1.052429183376e+03,4.461288074366e+02,2.657785652060e+02,1.477138590722e+02,8.643440223523e+01
9.678536290105e+03,1.428235593300e+03,1.052769567421e+03,4.463879554584e+02,2.659426247774e+02,1.478070842541e+02,8.648930444798e+01
9.923413806891e+03,1.428322555277e+03,1.053117958162e+03,4.466534066486e+02,2.661106932824e+02,1.479025914847e+02,8.654555130060e+01
1.017448699174e+04,1.428411486193e+03,1.053474528994e+03,4.469253081034e+02,2.662828652239e+02,1.480004347635e+02,8.660317464643e+01
1.043191260182e+04,1.428502424996e+03,1.053839456340e+03,4.472038100517e+02,2.664592371662e+02,1.481006692787e+02,8.666220704178e+01
1.069585136040e+04,1.428595411137e+03,1.054212919668e+03,4.474890659071e+02,2.666399077721e+02,1.482033514289e+02,8.672268175899e+01
1.096646805723e+04,1.428690484556e+03,1.054595101500e+03,4.477812323202e+02,2.668249778409e+02,1.483085388456e+02,8.678463279967e+01
1.124393165145e+04,1.428787685678e+03,1.054986187431e+03,4.480804692314e+02,2.670145503452e+02,1.484162904153e+02,8.684809490806e+01
1.152841537700e+04,1.428887055404e+03,1.055386366135e+03,4.483869399238e+02,2.672087304696e+02,1.485266663023e+02,8.691310358447e+01
1.182009685087e+04,1.428988635097e+03,1.055795829374e+03,4.487008110756e+02,2.674076256484e+02,1.486397279712e+02,8.697969509894e+01
