tau_over_theta,goupillaud_alpha_0.001,goupillaud_alpha_0.01,goupillaud_alpha_0.03
2.000000000000e-02,1.454496621770e+00,1.380714767545e+00,1.304557340938e+00
1.000000000000e-01,1.437704192311e+00,1.187900439454e+00,1.014149499921e+00
3.000000000000e-01,1.437704192311e+00,1.064317054247e+00,8.037132257241e-01
1.000000000000e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
3.000000000000e+00,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
1.000000000000e+01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
