dx_m,succ_diff_rel,impulse_err
4.000000000000e-03,4.239128512165e-02,6.780291193498e-06
2.000000000000e-03,7.019062014848e-03,7.285998070095e-06
1.000000000000e-03,3.996093582236e-03,7.419109105955e-06
