percentile,ratio_lo,compression_over_pref_lo,ratio_hi,compression_over_pref_hi
5.000000000000e+01,1.374707239651e-01,5.548682796927e-01,1.934615472181e-01,3.291994268649e-01
9.000000000000e+01,2.159111202289e-01,6.394889409069e-01,3.476681811776e-01,4.441125003075e-01
9.900000000000e+01,3.141063361060e-01,7.031870444765e-01,5.122550191446e-01,5.550261832626e-01
