alpha,p_star_Pa,R_star_W0.25,R_star_W1,R_star_W4
1.481046048881e-04,3.416168400502e+05,5.393593523927e+01,8.561796033770e+01,1.359100403074e+02
1.521508025563e-04,3.509511858999e+05,5.266446110597e+01,8.359962096095e+01,1.327061262576e+02
1.563075417946e-04,3.605406234823e+05,5.142295539838e+01,8.162885349471e+01,1.295777279085e+02
1.605778425837e-04,3.703921262272e+05,5.021071175027e+01,7.970453665245e+01,1.265230653287e+02
1.649648074098e-04,3.805128583192e+05,4.902704044462e+01,7.782557557668e+01,1.235404005405e+02
1.694716235184e-04,3.909101799223e+05,4.787126802128e+01,7.599090121602e+01,1.206280365303e+02
1.741015652304e-04,4.015916525479e+05,4.674273689369e+01,7.419946971692e+01,1.177843162841e+02
1.788579963204e-04,4.125650445712e+05,4.564080497484e+01,7.245026182973e+01,1.150076218439e+02
1.837443724611e-04,4.238383368976e+05,4.456484531185e+01,7.074228232883e+01,1.122963733874e+02
1.887642437335e-04,4.354197287862e+05,4.351424572933e+01,6.907455944634e+01,1.096490283294e+02
1.939212572066e-04,4.473176438325e+05,4.248840848100e+01,6.744614431920e+01,1.070640804435e+02
1.992191595866e-04,4.595407361157e+05,4.148674990966e+01,6.585611044933e+01,1.045400590058e+02
2.046617999392e-04,4.720978965150e+05,4.050870011504e+01,6.430355317647e+01,1.020755279576e+02
2.102531324863e-04,4.849982591997e+05,3.955370262959e+01,6.278758916345e+01,9.966908508861e+01
2.159972194783e-04,4.982512082974e+05,3.862121410187e+01,6.130735589359e+01,9.731936123888e+01
2.218982341459e-04,5.118663847459e+05,3.771070398736e+01,5.986201118000e+01,9.502501952006e+01
2.279604637319e-04,5.258536933335e+05,3.682165424664e+01,5.845073268632e+01,9.278475455458e+01
2.341883126059e-04,5.402233099328e+05,3.595355905061e+01,5.707271745893e+01,9.059729173299e+01
2.405863054644e-04,5.549856889338e+05,3.510592449270e+01,5.572718147003e+01,8.846138648875e+01
2.471590906179e-04,5.701515708812e+05,3.427826830787e+01,5.441335917156e+01,8.637582359006e+01
2.539114433680e-04,5.857319903226e+05,3.347011959818e+01,5.313050305966e+01,8.433941644850e+01
2.608482694772e-04,6.017382838719e+05,3.268101856491e+01,5.187788324932e+01,8.235100644386e+01
2.679746087326e-04,6.181820984955e+05,3.191051624688e+01,5.065478705915e+01,8.040946226492e+01
2.752956386074e-04,6.350754000261e+05,3.115817426510e+01,4.946051860583e+01,7.851367926578e+01
2.828166780230e-04,6.524304819121e+05,3.042356457325e+01,4.829439840820e+01,7.666257883734e+01
2.905431912128e-04,6.702599742064e+05,2.970626921420e+01,4.715576300067e+01,7.485510779363e+01
2.984807916924e-04,6.885768528048e+05,2.900588008218e+01,4.604396455572e+01,7.309023777253e+01
3.066352463379e-04,7.073944489379e+05,2.832199869058e+01,4.495837051527e+01,7.136696465072e+01
3.150124795755e-04,7.267264589249e+05,2.765423594524e+01,4.389836323085e+01,6.968430797234e+01
3.236185776862e-04,7.465869541970e+05,2.700221192304e+01,4.286333961210e+01,6.804131039112e+01
3.324597932271e-04,7.669903915970e+05,2.636555565576e+01,4.185271078368e+01,6.643703712573e+01
3.415425495745e-04,7.879516239627e+05,2.574390491900e+01,4.086590175019e+01,6.487057542787e+01
3.508734455903e-04,8.094859110033e+05,2.513690602608e+01,3.990235106902e+01,6.334103406297e+01
3.604592604165e-04,8.316089304757e+05,2.454421362682e+01,3.896151053095e+01,6.184754280310e+01
3.703069584005e-04,8.543367896692e+05,2.396549051104e+01,3.804284484815e+01,6.038925193182e+01
3.804236941544e-04,8.776860372083e+05,2.340040741668e+01,3.714583134972e+01,5.896533176077e+01
3.908168177536e-04,9.016736751807e+05,2.284864284248e+01,3.626995968420e+01,5.757497215754e+01
4.014938800764e-04,9.263171716016e+05,2.230988286507e+01,3.541473152929e+01,5.621738208477e+01
4.124626382901e-04,9.516344732221e+05,2.178382096030e+01,3.457966030827e+01,5.489178915005e+01
4.237310614869e-04,9.776440186919e+05,2.127015782891e+01,3.376427091315e+01,5.359743916647e+01
4.353073364732e-04,1.004364752086e+06,2.076860122620e+01,3.296809943438e+01,5.233359572352e+01
4.471998737181e-04,1.031816136809e+06,2.027886579573e+01,3.219069289686e+01,5.109953976806e+01
4.594173134636e-04,1.060018169875e+06,1.980067290701e+01,3.143160900226e+01,4.989456919524e+01
