R_m,alpha,tension_Pa,compression_Pa
1.325618060951e+00,2.080567538217e-05,3.982575728077e+06,5.744982421981e+07
1.398068477029e+00,2.080567538217e-05,3.523036270401e+06,5.409662063574e+07
1.474478602879e+00,2.080567538217e-05,3.104119223586e+06,5.093910525661e+07
1.555064852738e+00,2.080567538217e-05,2.722639602365e+06,4.796585807924e+07
1.640055468759e+00,2.080567538217e-05,2.375644715292e+06,4.516612555432e+07
1.729691167460e+00,2.080567538217e-05,2.060398078292e+06,4.252978169338e+07
1.824225821491e+00,2.080567538217e-05,1.774364396392e+06,4.004729144544e+07
1.923927178677e+00,2.080567538217e-05,1.515195545296e+06,3.770967621091e+07
2.029077620350e+00,2.080567538217e-05,1.280717488672e+06,3.550848136809e+07
2.139974961130e+00,2.080567538217e-05,1.068918071006e+06,3.343574569477e+07
2.256933292416e+00,2.080567538217e-05,8.779356296039e+05,3.148397257432e+07
2.380283871978e+00,2.080567538217e-05,7.060483728294e+05,2.964610288213e+07
2.510376062171e+00,2.080567538217e-05,5.516644749748e+05,2.791548945439e+07
2.647578319423e+00,2.080567538217e-05,4.133128412431e+05,2.628587304681e+07
